SampleID	prop_Broadleaf	prop_Abies	prop_Pinus	prop_Salix	prop_Arbutus	prop_Alnus	prop_Juniperus	prop_Prunus	total_mean_Height	total_mean_coverage	mean_coverage_Pinus	mean_coverage_Arbutus	mean_coverage_Quercus	mean_coverage_Juniperus
P1S1T1	-2.160441708628751	1.8899691386893203	1.5648527964066223	-0.29346539703881547	-0.8888927506333232	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	-0.4801229825202454	-0.8868285298874518	-0.30876415336405233	-0.6065446978768527	-1.1906990775501642	-0.3635788342818094
P1S1T2	-0.23193939274933392	-0.5065919158492008	1.653044557623093	3.7390531331814088	-0.8888927506333232	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	1.5736164769164047	3.0480520973324703	2.0395083723967224	-0.6065446978768527	-1.1906990775501642	-0.3635788342818094
P1S1T3	-2.160441708628751	-0.5065919158492008	1.8181631984139166	-0.29346539703881547	-0.8888927506333232	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	2.7426681692111132	3.5509232328932154	1.68545549201715	-0.6065446978768527	-1.1906990775501642	-0.3635788342818094
P1S2T1	0.5473788281685531	-0.5065919158492008	0.07302745670977176	-0.29346539703881547	0.17784575268500696	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	-1.3524251209222	-1.0955576749735223	-0.5459531157804995	-0.1971025386425589	-0.7582208968701603	-0.3635788342818094
P1S2T2	0.4810009159452766	-0.5065919158492008	0.7220131002826712	-0.29346539703881547	-0.8888927506333232	4.079949223221466	-0.4754766730069818	-0.23354033429199458	-0.44852699083660463	0.28447115348131646	3.5184273620903466	-0.6065446978768527	-0.29236352774841073	-0.3635788342818094
P1S2T3	-2.160441708628751	-0.5065919158492008	1.8181631984139166	-0.29346539703881547	-0.8888927506333232	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	1.3714021301411037	1.9571747216513613	0.9612656728623835	-0.6065446978768527	-1.1906990775501642	-0.3635788342818094
P2S1T1	0.571297667699176	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	0.24701576893303603	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	-0.956935220655188	-1.155427721139262	-0.600720352595971	-0.4243527322845593	-0.8298168372959327	-0.3635788342818094
P2S1T2	0.571297667699176	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	0.7988098488620256	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	-1.087881175493806	-0.9908464253962747	-0.600720352595971	0.4813829532943333	-0.6996863780085488	-0.3635788342818094
P2S1T3	0.571297667699176	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	0.9186999364204981	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	-0.7283772028917085	0.2701693859072171	-0.600720352595971	-0.5262235087447663	1.0041035015831452	-0.3635788342818094
P2S2T1	0.571297667699176	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	-0.8888927506333232	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	0.3097768095707739	-0.22874038206060004	-0.600720352595971	-0.6065446978768527	0.16043241980917747	-0.3635788342818094
P2S2T2	0.571297667699176	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	-0.8888927506333232	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	-0.6591669353942097	-0.6158455897924424	-0.600720352595971	-0.6065446978768527	-0.2575330702439809	-0.3635788342818094
P2S2T3	0.571297667699176	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	0.5912996562338116	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	-0.26948303796264034	-0.238397164673289	-0.600720352595971	0.5506028398634483	0.19381160825092283	-0.3635788342818094
P3S1T1	0.4735130577083034	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	-0.8888927506333232	-0.29040036633169053	1.7664160703742147	-0.23354033429199458	-0.6769903153183149	-0.49547691091255774	-0.600720352595971	-0.6065446978768527	-0.012268598650287288	0.6843333839395085
P3S1T2	0.571297667699176	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	0.5441995776515077	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	-0.9122589303165014	-0.8495075289355859	-0.600720352595971	0.8921311481242707	-0.5458518573639837	-0.3635788342818094
P3S1T3	0.571297667699176	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	1.0689366126907895	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	-0.5634215060498436	-0.3266077976279374	-0.600720352595971	2.138089106368342	-0.12063002199740235	-0.3635788342818094
P3S2T1	0.571297667699176	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	1.530770461198631	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	-0.7486889118311919	-0.00437459586865291	-0.600720352595971	1.0514674907927999	0.6214522253886451	-0.3635788342818094
P3S2T2	0.5023200508897171	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	1.4547877570984957	-0.29040036633169053	1.5242476154976161	-0.23354033429199458	-0.6521456039089563	0.4248552485110504	-0.600720352595971	0.04255499315805652	1.7955288971004681	4.86769368560721
P3S2T3	0.2280968761216352	-0.5065919158492008	0.5866332462028955	-0.29346539703881547	1.1956284825513015	-0.29040036633169053	2.3597177222833285	-0.23354033429199458	-0.8487428854960544	-0.09012184037752767	-0.47082631137563347	2.4554557561097567	1.4539969110153645	0.22846196697317248
P4S1T1	0.1668480907543885	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	1.270579819128188	-0.29040036633169053	2.6770765463276835	-0.23354033429199458	-0.4801229825202454	-0.7348243359777784	-0.600720352595971	0.8229112615551558	0.2905628790965613	0.4664623690776752
P4S1T2	0.5023200508897171	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	0.7641560997705338	-0.29040036633169053	1.5242476154976161	-0.23354033429199458	-1.0593828300536596	0.5214291838190691	-0.600720352595971	3.6406830591563972	1.0181324358557626	1.690802746072978
P4S1T3	0.571297667699176	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	1.403422492887223	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	-1.013366103704152	-0.6387142754923545	-0.600720352595971	0.5610511246285977	-0.262854390140491	-0.3635788342818094
P4S2T1	0.571297667699176	-0.5065919158492008	-0.8614316977345943	-0.29346539703881547	-0.8888927506333232	-0.29040036633169053	-0.4754766730069818	-0.23354033429199458	-0.3783136759840696	0.2622728329262042	-0.600720352595971	-0.6065446978768527	0.6906293840432766	-0.3635788342818094
P4S2T2	0.38981435709568335	-0.5065919158492008	0.6843640169679291	-0.29346539703881547	1.759051576968737	-0.29040036633169053	1.6592102059886886	-0.23354033429199458	-0.6760181309588182	-0.5062802364435636	0.5031754021010049	-0.060621818897794257	0.9189623832389834	0.8133982786130945
P4S2T3	-0.1278278191178365	-0.5065919158492008	1.294713243683153	-0.29346539703881547	1.129022500054633	-0.29040036633169053	2.2779077412333257	-0.23354033429199458	-0.49276137919370167	-0.12809211167315157	0.06035480703167199	0.22931808333510292	3.240992883534308	1.7926337638888348
